"Member ID","Location","Joined Group on","Last visited group on","Last Attended","Total RSVPs","RSVPed Yes","RSVPed Maybe","RSVPed No","Meetups attended","No shows","Intro","Photo","Assistant Organizer","Mailing List","R Experience"
799,"Chicago, IL","March 7, 2011","August 15, 2017","January 29, 2015",17,10,0,7,10,0,"No","Yes","No","No",""
800,"Pacifica, CA","August 2, 2016","February 15, 2018","August 3, 2016",1,1,0,0,1,0,"No","Yes","No","Yes",""
801,"Chicago, IL","August 17, 2015","April 18, 2018","August 3, 2016",1,1,0,0,1,0,"No","Yes","No","Yes",""
802,"Chicago, IL","June 17, 2014","June 17, 2014","",0,0,0,0,0,0,"No","No","No","Yes",""
803,"Wheaton, IL","January 29, 2016","June 5, 2022","January 24, 2017",3,1,0,2,1,0,"No","Yes","No","Yes",""
804,"Chicago, IL","July 30, 2018","May 9, 2019","",0,0,0,0,0,0,"No","No","No","Yes",""
805,"Chicago, IL","October 16, 2018","November 16, 2018","October 16, 2018",1,1,0,0,1,0,"No","No","No","No",""
806,"Chicago, IL","April 11, 2018","May 25, 2018","April 14, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
807,"Chicago, IL","April 25, 2016","July 10, 2018","July 25, 2018",3,2,0,1,2,0,"No","Yes","No","Yes",""
808,"Chicago, IL","January 22, 2013","November 14, 2017","September 11, 2013",3,3,0,0,3,0,"No","Yes","No","No",""
809,"Chicago, IL","February 22, 2017","April 8, 2019","May 30, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
810,"Chicago, IL","August 28, 2017","August 28, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
811,"Chicago, IL","February 18, 2015","February 18, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
812,"Chicago, IL","February 27, 2020","February 27, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
813,"Chicago, IL","August 2, 2019","August 12, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
814,"Chicago, IL","January 24, 2022","January 24, 2022","",0,0,0,0,0,0,"No","Yes","No","Yes",""
815,"Chicago, IL","March 6, 2014","April 14, 2016","",2,0,0,2,0,0,"Yes","Yes","No","Yes","Since 2012"
816,"Chicago, IL","December 11, 2016","December 11, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
817,"Luxembourg","July 6, 2015","July 7, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
818,"Chicago, IL","May 25, 2015","November 15, 2017","November 15, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
819,"Chicago, IL","March 10, 2017","April 7, 2017","March 16, 2017",1,1,0,0,1,0,"No","No","No","Yes",""
820,"Chicago, IL","November 15, 2017","November 15, 2017","",0,0,0,0,0,0,"No","No","No","Yes",""
821,"Chicago, IL","April 13, 2018","August 21, 2018","April 14, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
822,"Atlanta, GA","November 2, 2017","February 14, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
823,"Chicago, IL","March 12, 2018","July 30, 2019","June 16, 2021",7,7,0,0,7,0,"No","No","No","Yes",""
824,"Gary, IN","May 6, 2018","May 6, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
825,"Chicago, IL","November 22, 2019","November 22, 2019","November 26, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
826,"Chicago, IL","May 7, 2014","February 15, 2017","",1,0,0,1,0,0,"Yes","No","No","Yes","Very new to R, just started learning the software"
827,"Chicago, IL","March 22, 2018","May 21, 2018","May 30, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
828,"Chicago, IL","June 10, 2014","April 2, 2015","April 2, 2015",2,1,0,1,1,0,"Yes","No","No","Yes","On and off for 4 years."
829,"Cambridge, MA","July 17, 2015","April 2, 2018","November 5, 2015",1,1,0,0,1,0,"No","Yes","No","Yes",""
830,"Chicago, IL","June 12, 2011","June 13, 2011","",0,0,0,0,0,0,"Yes","No","No","Yes",""
831,"Pusan","August 31, 2017","August 31, 2017","",0,0,0,0,0,0,"No","No","No","Yes",""
832,"Chicago, IL","May 14, 2015","September 24, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
833,"Chicago, IL","June 12, 2016","June 12, 2016","June 12, 2016",1,1,0,0,1,0,"No","Yes","No","Yes",""
834,"Chicago, IL","July 3, 2014","February 21, 2019","May 30, 2018",6,5,0,1,5,0,"No","No","No","Yes",""
835,"Chicago, IL","February 1, 2018","February 1, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
836,"Chicago, IL","March 5, 2016","July 10, 2017","June 22, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
837,"Chicago, IL","May 21, 2013","November 8, 2017","March 7, 2017",9,8,0,1,8,0,"No","No","No","Yes",""
838,"Chicago, IL","March 25, 2018","March 6, 2019","February 27, 2019",2,2,0,0,2,0,"No","No","No","Yes",""
839,"Chicago, IL","November 3, 2016","November 8, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
840,"Chicago, IL","January 21, 2014","July 18, 2019","July 30, 2019",5,4,0,1,4,0,"No","Yes","No","Yes","6 months"
841,"Chicago, IL","July 10, 2018","September 4, 2018","July 25, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
842,"Chicago, IL","March 8, 2011","November 4, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","Since S-Plus 4.5"
843,"Chicago, IL","November 25, 2017","February 3, 2020","February 19, 2020",2,2,0,0,2,0,"No","Yes","No","Yes",""
844,"Chicago, IL","October 9, 2012","September 20, 2016","August 3, 2016",10,8,0,2,8,0,"Yes","Yes","No","Yes","A few months"
845,"Denver, CO","February 5, 2017","July 12, 2017","April 27, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
846,"River Forest, IL","May 30, 2014","November 4, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","about a year... newbie status for sure!"
847,"Chicago, IL","October 25, 2017","October 25, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
848,"East Lansing, MI","March 3, 2012","July 9, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
849,"Madison, WI","January 5, 2017","January 5, 2017","January 26, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
850,"Chicago, IL","July 12, 2021","July 12, 2021","July 14, 2021",1,1,0,0,1,0,"No","Yes","No","Yes",""
851,"Chicago, IL","November 7, 2014","November 11, 2014","",0,0,0,0,0,0,"No","Yes","No","No",""
852,"Evanston, IL","November 16, 2015","July 25, 2018","May 17, 2017",8,8,0,0,7,0,"No","Yes","No","Yes",""
853,"Chicago, IL","April 24, 2011","July 7, 2018","July 25, 2018",21,16,0,5,16,0,"Yes","Yes","No","Yes","New to it, just a few months. It's great. Cleaner than SAS, at least to my tastes."
854,"Chicago, IL","June 3, 2016","June 3, 2016","",0,0,0,0,0,0,"No","No","No","Yes",""
855,"Chicago, IL","November 8, 2016","July 14, 2017","July 15, 2017",4,1,0,3,1,0,"No","Yes","No","Yes",""
856,"Chicago, IL","August 8, 2018","November 20, 2019","November 26, 2019",7,7,0,0,7,0,"No","Yes","No","Yes",""
857,"Chicago, IL","July 18, 2012","July 11, 2022","June 1, 2022",12,8,0,4,8,0,"Yes","Yes","No","Yes","4 years"
858,"Chicago, IL","February 19, 2020","October 26, 2020","",1,0,0,1,0,0,"No","Yes","No","Yes",""
859,"Chicago, IL","January 31, 2022","June 3, 2022","June 1, 2022",1,1,0,0,1,0,"No","No","No","Yes",""
860,"Lake Bluff, IL","November 16, 2011","November 14, 2017","April 27, 2017",3,1,0,2,1,0,"Yes","Yes","No","Digest",". ."
861,"Chicago, IL","September 19, 2014","October 22, 2014","",1,0,0,1,0,0,"No","No","No","Yes",""
862,"Chicago, IL","July 31, 2019","July 31, 2019","June 16, 2021",1,1,0,0,1,0,"No","Yes","No","Yes",""
863,"Chicago, IL","December 11, 2014","December 5, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
864,"Chicago, IL","May 1, 2020","July 7, 2020","",0,0,0,0,0,0,"No","No","No","Yes",""
865,"Chicago, IL","November 3, 2012","April 14, 2016","November 14, 2012",3,1,0,2,1,0,"No","Yes","No","Yes",""
866,"Chicago, IL","February 15, 2016","February 24, 2019","",1,0,0,1,0,0,"No","Yes","No","Yes",""
867,"Chicago, IL","October 31, 2018","June 11, 2019","",1,0,0,1,0,0,"No","No","No","Yes",""
868,"Chicago, IL","February 3, 2011","January 14, 2016","",0,0,0,0,0,0,"Yes","Yes","No","Yes","I have been recruiting R users for paid market research for the past year or so. My clients have also shown an interest in users of Hadoop and other Big Data applications."
869,"Chicago, IL","June 22, 2018","June 22, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
870,"Chicago, IL","February 21, 2017","July 14, 2017","June 22, 2017",4,2,0,2,2,0,"No","No","No","Yes",""
871,"Wheaton, IL","July 9, 2014","January 27, 2020","January 29, 2020",23,22,0,1,22,0,"No","No","No","Yes",""
872,"Chicago, IL","February 11, 2020","February 11, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
873,"Chicago, IL","July 25, 2016","June 29, 2017","",0,0,0,0,0,0,"No","Yes","No","No",""
874,"Chicago, IL","November 3, 2017","September 2, 2021","October 16, 2018",3,2,0,1,2,0,"No","No","No","Yes",""
875,"Chicago, IL","April 30, 2013","August 24, 2018","January 27, 2018",2,2,0,0,2,0,"No","Yes","No","Yes","~3 years"
876,"Chicago, IL","October 14, 2017","August 15, 2018","August 30, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
877,"San Mateo, CA","November 23, 2014","October 14, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
878,"Tokyo","February 6, 2017","April 1, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
879,"Chicago, IL","January 14, 2013","January 22, 2013","",1,0,0,1,0,0,"Yes","Yes","No","Yes","< 1 year"
880,"Chicago, IL","December 10, 2014","September 29, 2016","July 31, 2015",3,3,0,0,3,0,"No","Yes","No","Yes",""
881,"Chicago, IL","July 20, 2016","July 31, 2017","July 24, 2016",1,1,0,0,1,0,"No","Yes","No","Yes",""
882,"Chicago, IL","April 22, 2014","May 16, 2019","October 16, 2018",14,14,0,0,14,0,"No","Yes","No","Yes","3 years"
883,"Chicago, IL","May 13, 2014","November 13, 2018","August 30, 2018",2,2,0,0,2,0,"Yes","Yes","No","Yes","Few months"
884,"Chicago, IL","September 9, 2017","February 18, 2020","April 14, 2018",8,3,0,5,3,0,"No","Yes","No","Yes",""
885,"Chicago, IL","June 4, 2019","June 10, 2019","June 11, 2019",1,1,0,0,1,0,"No","No","No","Yes",""
886,"Chicago, IL","July 13, 2011","November 18, 2011","November 17, 2011",1,1,0,0,1,0,"No","Yes","No","Yes",""
887,"Geneva, IL","October 14, 2015","May 20, 2018","May 30, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
888,"New York, NY","October 25, 2021","October 25, 2021","",0,0,0,0,0,0,"No","No","No","Yes",""
889,"Chicago, IL","January 4, 2014","January 4, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","1 month."
890,"Chicago, IL","October 4, 2013","October 4, 2013","November 14, 2013",1,1,0,0,1,0,"Yes","Yes","No","Yes","I have not used it"
891,"New York, NY","April 19, 2017","January 25, 2020","June 11, 2019",2,1,0,1,1,0,"No","Yes","No","Yes",""
892,"Worth, IL","February 10, 2018","February 14, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
893,"Chicago, IL","November 14, 2017","November 14, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
894,"Chicago, IL","November 18, 2017","November 18, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
895,"Lockport, IL","March 8, 2012","March 6, 2017","",0,0,0,0,0,0,"No","Yes","No","Digest",""
896,"Chicago, IL","June 10, 2020","June 10, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
897,"Chicago, IL","January 4, 2011","November 8, 2014","November 13, 2014",1,1,0,0,1,0,"No","Yes","No","Digest",""
898,"Chicago, IL","August 13, 2013","August 13, 2013","",0,0,0,0,0,0,"No","No","No","Yes",""
899,"Chicago, IL","March 2, 2017","March 2, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
900,"Chicago, IL","January 17, 2016","July 28, 2019","",1,0,0,1,0,0,"No","Yes","No","Yes","Off and on since my Bell Labs days (1992-2000)."
901,"Chicago, IL","March 11, 2014","February 24, 2015","March 12, 2015",4,3,0,1,3,0,"No","Yes","No","Yes",""
902,"Chicago, IL","March 8, 2018","March 8, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
903,"Barrington, IL","December 27, 2016","March 9, 2017","March 16, 2017",2,2,0,0,2,0,"No","Yes","No","Yes",""
904,"Chicago, IL","May 26, 2015","May 22, 2016","June 5, 2016",1,1,0,0,1,0,"No","No","No","Yes",""
905,"Chicago, IL","November 25, 2017","February 15, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
906,"Milton, MA","May 1, 2013","September 6, 2013","August 8, 2013",1,1,0,0,1,0,"No","Yes","No","Yes",""
907,"Chicago, IL","July 17, 2021","July 17, 2021","",0,0,0,0,0,0,"No","Yes","No","Yes",""
908,"Chicago, IL","April 30, 2013","December 11, 2014","May 1, 2013",1,1,0,0,1,0,"No","Yes","No","Yes",""
909,"Chicago, IL","March 4, 2014","November 15, 2017","",0,0,0,0,0,0,"No","No","No","No",""
910,"Chicago, IL","May 12, 2014","February 3, 2018","November 15, 2017",2,2,0,0,2,0,"No","Yes","No","Yes",""
911,"Chicago, IL","January 21, 2019","October 9, 2019","October 24, 2019",3,2,0,1,2,0,"No","Yes","No","Yes",""
912,"Chicago, IL","August 3, 2016","September 28, 2016","September 28, 2016",2,2,0,0,2,0,"No","Yes","No","Yes",""
913,"Chicago, IL","April 28, 2014","July 23, 2015","July 31, 2015",4,3,0,1,2,1,"No","Yes","No","Yes",""
914,"Chicago, IL","May 28, 2012","May 28, 2012","May 30, 2012",1,1,0,0,1,0,"Yes","Yes","No","Yes","New"
915,"Chicago, IL","September 16, 2017","June 28, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
916,"Chicago, IL","February 18, 2012","November 9, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
917,"Chicago, IL","November 5, 2018","November 5, 2018","November 14, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
918,"Chicago, IL","September 16, 2014","October 2, 2014","",0,0,0,0,0,0,"No","No","No","Yes",""
919,"Seattle, WA","September 14, 2016","May 21, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
920,"Chicago, IL","February 8, 2020","February 8, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
921,"La Grange, IL","November 14, 2017","January 17, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
922,"Chicago, IL","November 10, 2014","July 27, 2015","July 28, 2015",1,1,0,0,1,0,"Yes","Yes","No","Yes","10 months"
923,"Oak Park, IL","August 3, 2013","August 7, 2013","August 8, 2013",1,1,0,0,1,0,"No","No","No","Yes",""
924,"Chicago, IL","August 6, 2014","August 7, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","Decades, off & on"
925,"Akron, OH","August 20, 2018","August 20, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
926,"Evanston, IL","October 10, 2019","October 10, 2019","October 24, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
927,"Chicago, IL","May 7, 2012","July 19, 2019","December 2, 2015",15,1,0,14,1,0,"No","No","No","Yes",""
928,"Chicago, IL","March 28, 2012","May 30, 2018","May 30, 2018",11,8,0,3,8,0,"No","Yes","No","Yes",""
929,"Union, KY","July 3, 2013","March 13, 2017","August 8, 2013",1,1,0,0,1,0,"Yes","Yes","No","Yes","New to R"
930,"Los Angeles, CA","July 27, 2015","July 27, 2015","",0,0,0,0,0,0,"No","No","No","Yes",""
931,"Chicago, IL","December 13, 2018","December 13, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
932,"Chicago, IL","January 17, 2012","August 10, 2012","January 26, 2012",1,1,0,0,1,0,"No","Yes","No","Yes",""
933,"Chicago, IL","May 19, 2015","November 6, 2018","November 14, 2018",5,5,0,0,5,0,"No","Yes","No","Yes",""
934,"Chicago, IL","November 6, 2014","July 12, 2016","April 2, 2015",3,3,0,0,3,0,"No","No","No","Yes",""
935,"Chicago, IL","March 20, 2018","March 25, 2018","March 29, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
936,"Chicago, IL","January 24, 2012","July 24, 2019","July 30, 2019",11,11,0,0,11,0,"Yes","Yes","No","Digest","I have been using R for approximately ten years."
937,"Chicago, IL","August 25, 2010","September 30, 2014","May 1, 2013",15,9,0,6,9,0,"No","Yes","No","Yes","over 20 years"
938,"Bloomingdale, IL","May 13, 2019","May 13, 2019","May 15, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
939,"Chicago, IL","November 20, 2013","August 2, 2016","",0,0,0,0,0,0,"Yes","No","No","Yes","Days, not months!"
940,"Chicago, IL","May 24, 2018","October 16, 2018","October 16, 2018",3,3,0,0,3,0,"No","No","No","Yes",""
941,"Chicago, IL","October 16, 2018","October 16, 2018","October 16, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
942,"Chicago, IL","May 17, 2014","May 17, 2014","",0,0,0,0,0,0,"Yes","No","No","Yes","2 years"
943,"Chicago, IL","April 6, 2010","August 30, 2018","August 30, 2018",13,9,0,4,9,0,"Yes","Yes","No","Yes","15y"
944,"Chicago, IL","March 31, 2015","April 2, 2015","April 2, 2015",1,1,0,0,1,0,"No","No","No","Yes",""
945,"Chicago, IL","August 29, 2017","March 23, 2019","March 20, 2019",3,3,0,0,3,0,"No","Yes","No","Yes",""
946,"Chicago, IL","July 27, 2017","January 2, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
947,"Saint Louis, MO","February 3, 2018","April 27, 2021","August 30, 2018",5,5,0,0,5,0,"No","No","No","Yes",""
948,"Chicago, IL","October 18, 2015","November 1, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
949,"Chicago, IL","February 12, 2015","July 8, 2022","October 21, 2015",3,2,0,1,2,0,"No","Yes","No","Yes",""
950,"Chicago, IL","February 2, 2018","February 2, 2018","February 15, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
951,"Tacoma, WA","January 17, 2015","January 17, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
952,"Chicago, IL","May 3, 2016","March 8, 2017","September 28, 2016",1,1,0,0,1,0,"No","Yes","No","Yes",""
953,"Malmö","August 16, 2018","August 16, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
954,"Barnet","December 7, 2015","December 7, 2015","",0,0,0,0,0,0,"No","No","No","Yes",""
955,"Chicago, IL","April 13, 2020","October 3, 2021","",0,0,0,0,0,0,"No","Yes","No","Yes",""
956,"Chicago, IL","July 1, 2019","August 20, 2019","August 20, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
957,"Chicago, IL","January 2, 2013","January 2, 2013","",0,0,0,0,0,0,"No","Yes","No","Yes",""
958,"Chicago, IL","March 5, 2019","June 17, 2021","",0,0,0,0,0,0,"No","Yes","No","Yes",""
959,"Chicago, IL","July 30, 2016","October 26, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
960,"Oak Park, IL","October 16, 2015","July 26, 2018","July 25, 2018",4,3,0,1,3,0,"No","Yes","No","Yes",""
961,"Chesterfield, MO","August 19, 2016","September 12, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
962,"Chicago, IL","August 18, 2012","May 12, 2017","August 3, 2016",5,5,0,0,5,0,"No","Yes","No","Yes",""
963,"Chicago, IL","April 4, 2018","April 4, 2018","April 14, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
964,"Chicago, IL","April 6, 2018","April 16, 2018","April 14, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
965,"Chicago, IL","May 29, 2013","May 29, 2013","",0,0,0,0,0,0,"No","No","No","Yes",""
966,"Dubai","January 22, 2017","January 22, 2017","January 24, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
967,"Chicago, IL","January 15, 2017","October 14, 2017","October 14, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
968,"Chicago, IL","October 28, 2016","May 5, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
969,"Oak Brook, IL","August 31, 2011","August 31, 2011","September 8, 2011",1,1,0,0,1,0,"No","No","No","Yes",""
970,"Chicago, IL","January 20, 2012","January 27, 2012","",1,1,0,0,0,1,"No","Yes","No","Digest","I've been using R for about 2 or 3 years. I started b/c I was looking for a good free statistical processing package and discovered that R was both powerful and easy to customize. I've been working with it ever since."
971,"Chicago, IL","April 7, 2010","April 19, 2010","",0,0,0,0,0,0,"No","No","No","Yes",""
972,"Bellevue, WA","June 27, 2012","March 10, 2015","March 12, 2015",3,1,0,2,1,0,"Yes","Yes","No","Digest","About 2 months."
973,"North Chicago, IL","February 5, 2017","March 14, 2017","",1,0,0,1,0,0,"No","Yes","No","Yes",""
974,"Chicago, IL","April 7, 2014","April 7, 2014","April 16, 2014",1,1,0,0,1,0,"No","No","No","Yes",""
975,"Chicago, IL","December 28, 2015","January 11, 2017","January 24, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
976,"Chicago, IL","August 12, 2021","August 12, 2021","",0,0,0,0,0,0,"No","No","No","Yes",""
977,"Mundelein, IL","June 26, 2018","February 23, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
978,"Cumming, GA","February 7, 2012","July 14, 2022","",2,0,0,2,0,0,"No","Yes","No","Digest",""
979,"Chicago, IL","February 15, 2018","January 30, 2022","",3,0,0,3,0,0,"No","Yes","No","Yes",""
980,"Chicago, IL","February 14, 2017","February 14, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
981,"Chicago, IL","May 10, 2018","May 19, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
982,"Chicago, IL","November 15, 2017","February 19, 2020","",1,0,0,1,0,0,"No","Yes","No","Yes",""
983,"Chicago, IL","February 16, 2017","February 16, 2017","March 7, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
984,"Chicago, IL","May 24, 2012","August 25, 2017","September 7, 2017",4,4,0,0,4,0,"No","Yes","No","Yes",""
985,"Irvine, CA","June 9, 2019","July 30, 2019","",1,0,0,1,0,0,"No","Yes","No","Yes",""
986,"Schaumburg, IL","April 14, 2016","April 14, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
987,"Chicago, IL","February 14, 2018","April 20, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
988,"Chicago, IL","December 27, 2013","May 7, 2019","October 16, 2018",4,3,0,1,3,0,"Yes","Yes","No","Yes","Just started!"
989,"Chicago, IL","January 20, 2017","July 12, 2019","July 30, 2019",4,4,0,0,4,0,"No","Yes","No","Yes",""
990,"Chicago, IL","May 30, 2010","August 19, 2019","August 20, 2019",4,3,0,1,3,0,"Yes","Yes","No","Yes","Learning basics now"
991,"Chicago, IL","April 24, 2018","April 24, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
992,"Piscataway, NJ","October 3, 2013","April 17, 2014","April 16, 2014",1,1,0,0,1,0,"Yes","Yes","No","Yes","I have been using R for over a year."
993,"Minneapolis, MN","February 11, 2020","February 11, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
994,"Chicago, IL","January 20, 2020","January 31, 2020","February 19, 2020",1,1,0,0,1,0,"No","Yes","No","Yes",""
995,"Chicago, IL","June 3, 2012","November 15, 2019","November 26, 2019",4,3,0,1,3,0,"No","Yes","No","No","1 college semester. I enjoyed this program."
996,"Chicago, IL","August 21, 2018","August 21, 2018","August 30, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
997,"Chicago, IL","November 15, 2017","November 16, 2018","May 30, 2018",4,4,0,0,4,0,"No","Yes","No","Yes",""
998,"Oak Park, IL","October 9, 2017","August 9, 2018","October 14, 2017",1,1,0,0,1,0,"No","No","No","Yes",""
999,"Chicago, IL","January 24, 2015","November 25, 2019","November 26, 2019",3,3,0,0,3,0,"No","Yes","No","Yes",""
1000,"Chicago, IL","January 20, 2016","January 20, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
1001,"Chicago, IL","April 13, 2018","April 13, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
1002,"Chicago, IL","April 21, 2014","November 12, 2014","",0,0,0,0,0,0,"No","Yes","No","Yes",""
1003,"Chicago, IL","August 10, 2015","August 10, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
1004,"Chicago, IL","April 19, 2014","April 25, 2019","May 17, 2017",2,2,0,0,2,0,"Yes","Yes","No","Yes","Have been using R for about a year now."
1005,"Chicago, IL","January 6, 2017","November 18, 2019","October 14, 2017",3,3,0,0,3,0,"No","Yes","No","Yes",""
1006,"Chicago, IL","June 14, 2018","June 14, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
1007,"Chicago, IL","July 29, 2016","May 18, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
1008,"Arlington Heights, IL","July 8, 2016","September 19, 2017","October 14, 2017",2,2,0,0,2,0,"No","Yes","No","Yes",""
1009,"Chicago, IL","April 5, 2010","July 9, 2022","November 26, 2019",30,22,0,8,22,0,"Yes","Yes","No","No","Since the 1990s"
1010,"Chicago, IL","February 5, 2018","June 6, 2019","August 30, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
1011,"Buffalo Grove, IL","January 12, 2017","January 27, 2017","January 26, 2017",2,2,0,0,2,0,"No","Yes","No","Yes",""
1012,"Collinsville, IL","November 17, 2011","January 25, 2012","January 26, 2012",2,2,0,0,2,0,"No","No","No","Yes",""
1013,"Chicago, IL","February 16, 2014","January 29, 2015","February 19, 2014",2,1,0,1,1,0,"No","No","No","Yes",""
1014,"Chicago, IL","February 10, 2017","February 10, 2017","",0,0,0,0,0,0,"No","No","No","Yes",""
1015,"Chicago, IL","November 12, 2012","April 1, 2015","March 12, 2015",6,3,0,3,3,0,"Yes","Yes","No","Yes","About a year. Completed Data Science Specialization as well Calltech Machine Learning course using R"
1016,"Chicago, IL","February 21, 2020","February 21, 2020","",0,0,0,0,0,0,"No","No","No","Yes",""
1017,"Chicago, IL","June 28, 2016","April 8, 2018","January 27, 2018",2,1,0,1,1,0,"No","Yes","No","Yes",""
1018,"Albany, NY","August 20, 2014","August 20, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","Since 2009"
1019,"Chicago, IL","February 12, 2012","March 22, 2013","",2,0,0,2,0,0,"Yes","Yes","No","Digest","Newer user"
1020,"Chicago, IL","May 25, 2022","May 25, 2022","",0,0,0,0,0,0,"No","Yes","No","Yes",""
1021,"Lisle, IL","November 9, 2017","November 9, 2017","November 15, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
1022,"Richmond, CA","May 21, 2015","May 21, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
1023,"Hinsdale, IL","October 15, 2012","October 15, 2012","",0,0,0,0,0,0,"No","Yes","No","Yes",""
1024,"Chicago, IL","April 19, 2014","February 21, 2019","",2,1,0,1,0,1,"Yes","Yes","No","Yes","Just started working with R"
1025,"Chicago, IL","April 11, 2018","May 15, 2019","May 15, 2019",4,4,0,0,4,0,"No","Yes","No","Yes",""
1026,"San Diego, CA","August 4, 2015","January 17, 2020","May 30, 2018",10,10,0,0,10,0,"No","Yes","No","Yes",""
1027,"Chicago, IL","February 12, 2014","May 7, 2014","February 19, 2014",1,1,0,0,1,0,"Yes","Yes","No","Yes","College"
1028,"Chicago, IL","July 6, 2014","June 17, 2016","",0,0,0,0,0,0,"Yes","Yes","No","No","1 year"
